SampleCode,DepthLayer,DepthLayerUnc,MassSection,MassSectionUnc,Pb210,Pb210Unc,Ra226,Ra226Unc
ABRA 0-1,1,0.1,62.174,1e-04,77.599,7.2981,30.189,1.9561
ABRA 1-2,2,0.1,52.0458,1e-04,76.9053171513259,6.11492384930733,29.9854879289307,1.98451019424086
ABRA 2-3,3,0.1,65.1509,1e-04,76.2,5.1,29.7780976876635,2.01408979289958
ABRA 3-4,4,0.1,36.9899,1e-04,74.5,4.8,29.5985203949182,2.0402287321448
ABRA 4-5,5,0.1,49.3359,1e-04,67.1061671889413,6.26918184748052,29.4475926750675,2.06258477564816
ABRA 5-6,6,0.1,36.664,1e-04,60.47,8.1798,29.298,2.0851
ABRA 6-7,7,0.1,45.4569,1e-04,59.7107656689552,6.93126190865295,29.242558161025,2.06000435912528
ABRA 7-8,8,0.1,48.6089,1e-04,58.8528030148195,5.73349314408911,29.1791809298849,2.03162935279091
ABRA 8-9,9,0.1,57.9399,1e-04,57.8958651918943,4.62479324963201,29.1075591172592,1.99996063962723
ABRA 9-10,10,0.1,66.2624,1e-04,56.8,3.6,29.0242925433353,1.9636674758461
ABRA 10-11,11,0.1,30.8509,1e-04,57.3267591243399,4.32884301051268,28.9593526990736,1.9357494061689
ABRA 11-12,12,0.1,64.9309,1e-04,57.8510808800273,5.19210369492568,28.8954455566205,1.90860293465665
ABRA 12-13,13,0.1,57.8189,1e-04,58.5300458649502,6.55465493750139,28.8137510735062,1.87436902598863
ABRA 13-14,14,0.1,54.8034,1e-04,59.16,8.1172,28.739,1.8435
ABRA 14-15,15,0.1,29.7539,1e-04,56.7064949777842,6.41732756317233,29.1799439480137,1.83889546618225
ABRA 15-16,16,0.1,34.9159,1e-04,54.8989389016433,5.36172275295984,29.5217401290262,1.83538166120398
ABRA 16-17,17,0.1,49.9469,1e-04,52.6140978628897,4.23529443135957,29.976342726583,1.83078086282312
ABRA 17-18,18,0.1,39.845,1e-04,50.3,3.3,30.4649744452864,1.82592539209983
ABRA 18-19,19,0.1,48.7029,1e-04,48.0669389420838,3.98033839159576,30.9546361707708,1.82114980143851
ABRA 19-20,20,0.1,53.9749,1e-04,45.601372501504,4.94670830597994,31.532297682989,1.81562778973816
ABRA 20-21,21,0.1,47.2049,1e-04,43.2955239174459,6.12823526680331,32.1120758461205,1.81020271968412
ABRA 21-22,22,0.1,61.3544,1e-04,40.951,7.7115,32.746,1.8044
ABRA 22-23,23,0.1,68.8949,1e-04,40.0384622060369,7.40673623237191,32.3608157382143,1.8051359068308
ABRA 23-24,24,0.1,65.9399,1e-04,39.1152134887377,7.10392512903555,31.9668431016485,1.80589803784564
ABRA 24-25,25,0.1,69.2049,1e-04,38.2112044513967,6.81284005119644,31.5767775572383,1.80666224396677
ABRA 25-26,26,0.1,63.7818,1e-04,37.342029040002,6.53804892526507,31.1975874458302,1.80741456231997
ABRA 26-27,27,0.1,40.3619,1e-04,36.6751925477977,6.33061748828122,30.9038204798557,1.80800393181059
ABRA 27-28,28,0.1,70.9519,1e-04,35.9756062331739,6.11617582910802,30.5928859793318,1.80863409078267
ABRA 28-29,29,0.1,52.1609,1e-04,35.2173963783682,5.8874533454028,30.2526352651188,1.80933130091085
ABRA 29-30,30,0.1,48.2244,1e-04,34.611,5.7073,29.978,1.8099
ABRA 30-31,31,0.1,42.5549,1e-04,35.3867114837503,6.08349868747399,28.1360019939643,1.85887425144199
ABRA 31-32,32,0.1,55.8039,1e-04,36.2468255988131,6.51914751278814,26.2677381170096,1.91343445062601
ABRA 32-33,33,0.1,29.9359,1e-04,37.0136281326839,6.92427859509725,24.7406595130604,1.96229959730354
ABRA 33-34,34,0.1,45.969,1e-04,37.706,7.3039,23.463,2.0066
ABRA 34-35,35,0.1,57.9289,1e-04,27.5825556574347,4.32289663178913,18.8858727204776,1.88797348568841
ABRA 35-36,36,0.1,80.5469,1e-04,18.1832460928827,2.14876153821076,14.1424525818043,1.74069738341763
ABRA 36-37,37,0.1,58.8839,1e-04,11.9525430280884,1.06293792762697,10.5692973723093,1.60401122847014
ABRA 37-38,38,0.1,54.3997,1e-04,8.5,0.6,8.3423,1.5009
ABRA 38-39,39,0.1,107.2806,1e-04,6.9,0.5,8.4395,1.515
